,title,genres,tmdbId
0,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,862.0
1,Jumanji,Adventure|Children|Fantasy,8844.0
5,Heat,Action|Crime|Thriller,949.0
9,GoldenEye,Action|Adventure|Thriller,710.0
15,Casino,Crime|Drama,524.0
17,Four Rooms,Comedy,5.0
18,Ace Ventura: When Nature Calls,Comedy,9273.0
31,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,63.0
32,Babe,Children|Drama,9598.0
35,Clueless,Comedy|Romance,9603.0
40,Mortal Kombat,Action|Adventure|Fantasy,9312.0
43,Seven (a.k.a. Se7en),Mystery|Thriller,807.0
44,Pocahontas,Animation|Children|Drama|Musical|Romance,10530.0
46,"Usual Suspects, The",Crime|Mystery|Thriller,629.0
61,Friday,Comedy,10634.0
62,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,755.0
84,Broken Arrow,Action|Adventure|Thriller,9208.0
86,"Hate (Haine, La)",Crime|Drama,406.0
92,Happy Gilmore,Comedy,9614.0
97,Braveheart,Action|Drama|War,197.0
98,Taxi Driver,Crime|Drama|Thriller,103.0
118,Bad Boys,Action|Comedy|Crime|Drama|Thriller,9737.0
120,"Basketball Diaries, The",Drama,10474.0
123,Apollo 13,Adventure|Drama|IMAX,568.0
126,Batman Forever,Action|Adventure|Comedy|Crime,414.0
131,Casper,Adventure|Children,8839.0
134,Crimson Tide,Drama|Thriller|War,8963.0
136,Desperado,Action|Romance|Western,8068.0
138,Die Hard: With a Vengeance,Action|Crime|Thriller,1572.0
145,Judge Dredd,Action|Crime|Sci-Fi,9482.0
166,Species,Horror|Sci-Fi,9348.0
176,Waterworld,Action|Adventure|Sci-Fi,9804.0
183,Before Sunrise,Drama|Romance,76.0
184,Billy Madison,Comedy,11017.0
190,Clerks,Comedy,2292.0
197,Dumb & Dumber (Dumb and Dumber),Adventure|Comedy,8467.0
201,Ed Wood,Comedy|Drama,522.0
217,Interview with the Vampire: The Vampire Chronicles,Drama|Horror,628.0
224,Star Wars: Episode IV - A New Hope,Action|Adventure|Sci-Fi,11.0
229,Legends of the Fall,Drama|Romance|War|Western,4476.0
249,Natural Born Killers,Action|Crime|Thriller,241.0
253,Outbreak,Action|Drama|Sci-Fi|Thriller,6950.0
254,Léon: The Professional (a.k.a. The Professional) (Léon),Action|Crime|Drama|Thriller,101.0
257,Pulp Fiction,Comedy|Crime|Drama|Thriller,680.0
275,Stargate,Action|Adventure|Sci-Fi,2164.0
276,"Santa Clause, The",Comedy|Drama|Fantasy,11395.0
277,"Shawshank Redemption, The",Crime|Drama,278.0
287,Star Trek: Generations,Adventure|Drama|Sci-Fi,193.0
295,What's Eating Gilbert Grape,Drama,1587.0
302,Ace Ventura: Pet Detective,Comedy,3049.0
311,"Crow, The",Action|Crime|Fantasy|Thriller,9495.0
313,"Flintstones, The",Children|Comedy|Fantasy,888.0
314,Forrest Gump,Comedy|Drama|Romance|War,13.0
315,Four Weddings and a Funeral,Comedy|Romance,712.0
322,"Lion King, The",Adventure|Animation|Children|Drama|Musical|IMAX,8587.0
325,"Mask, The",Action|Comedy|Crime|Fantasy,854.0
326,Maverick,Adventure|Comedy|Western,9359.0
328,Naked Gun 33 1/3: The Final Insult,Action|Comedy,36593.0
334,Speed,Action|Romance|Thriller,1637.0
337,True Lies,Action|Adventure|Comedy|Romance|Thriller,36955.0
355,Addams Family Values,Children|Comedy|Fantasy,2758.0
364,Beverly Hills Cop III,Action|Comedy|Crime|Thriller,306.0
372,"Bronx Tale, A",Drama,1607.0
375,Carlito's Way,Crime|Drama,6075.0
378,Cliffhanger,Action|Adventure|Thriller,9350.0
384,Dazed and Confused,Comedy,9571.0
385,Demolition Man,Action|Adventure|Sci-Fi,9739.0
395,"Firm, The",Drama|Thriller,37233.0
398,"Fugitive, The",Thriller,5503.0
404,Hot Shots! Part Deux,Action|Comedy|War,9255.0
418,Jurassic Park,Action|Adventure|Sci-Fi|Thriller,329.0
422,Last Action Hero,Action|Adventure|Comedy|Fantasy,9593.0
436,Mrs. Doubtfire,Comedy|Drama,788.0
443,Philadelphia,Drama,9800.0
455,Robin Hood: Men in Tights,Comedy,8005.0
461,Schindler's List,Drama|War,424.0
472,Sleepless in Seattle,Comedy|Drama|Romance,858.0
474,Blade Runner,Action|Sci-Fi|Thriller,78.0
483,"Nightmare Before Christmas, The",Animation|Children|Fantasy|Musical,9479.0
485,Tombstone,Action|Drama|Western,11969.0
486,True Romance,Crime|Thriller,319.0
504,Home Alone,Children|Comedy,771.0
505,Ghost,Comedy|Drama|Fantasy|Romance|Thriller,251.0
506,Aladdin,Adventure|Animation|Children|Comedy|Musical,812.0
507,Terminator 2: Judgment Day,Action|Sci-Fi,280.0
508,Dances with Wolves,Adventure|Drama|Western,581.0
509,Batman,Action|Crime|Thriller,268.0
510,"Silence of the Lambs, The",Crime|Horror|Thriller,274.0
511,Snow White and the Seven Dwarfs,Animation|Children|Drama|Fantasy|Musical,408.0
512,Beauty and the Beast,Animation|Children|Fantasy|Musical|Romance|IMAX,10020.0
513,Pinocchio,Animation|Children|Fantasy|Musical,10895.0
514,Pretty Woman,Comedy|Romance,114.0
520,Fargo,Comedy|Crime|Drama|Thriller,275.0
527,"Aristocats, The",Animation|Children,10112.0
533,Primal Fear,Crime|Drama|Mystery|Thriller,1592.0
546,Mission: Impossible,Action|Adventure|Mystery|Thriller,954.0
549,Dragonheart,Action|Adventure|Fantasy,8840.0
559,Space Jam,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,2300.0
592,"Rock, The",Action|Adventure|Thriller,9802.0
594,Twister,Action|Adventure|Romance|Thriller,664.0
596,Ghost in the Shell (Kôkaku kidôtai),Animation|Sci-Fi,9323.0
602,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy|War,935.0
613,Trainspotting,Comedy|Crime|Drama,627.0
615,Independence Day (a.k.a. ID4),Action|Adventure|Sci-Fi|Thriller,602.0
618,"Hunchback of Notre Dame, The",Animation|Children|Drama|Musical|Romance,10545.0
619,"Cable Guy, The",Comedy|Thriller,9894.0
621,Eraser,Action|Drama|Thriller,9268.0
622,"Nutty Professor, The",Comedy|Fantasy|Romance|Sci-Fi,9327.0
633,"Time to Kill, A",Drama|Thriller,1645.0
645,Ransom,Crime|Thriller,3595.0
649,Matilda,Children|Comedy|Fantasy,10830.0
659,"Godfather, The",Crime|Drama,238.0
681,Singin' in the Rain,Comedy|Musical|Romance,872.0
684,Breakfast at Tiffany's,Drama|Romance,164.0
685,Vertigo,Drama|Mystery|Romance|Thriller,426.0
686,Rear Window,Mystery|Thriller,567.0
690,North by Northwest,Action|Adventure|Mystery|Romance|Thriller,213.0
691,"Apartment, The",Comedy|Drama|Romance,284.0
692,Some Like It Hot,Comedy|Crime,239.0
694,Casablanca,Drama|Romance,289.0
698,Roman Holiday,Comedy|Drama|Romance,804.0
701,"Wizard of Oz, The",Adventure|Children|Fantasy|Musical,630.0
702,Gone with the Wind,Drama|Romance|War,770.0
704,Sunset Blvd. (a.k.a. Sunset Boulevard),Drama|Film-Noir|Romance,599.0
705,Citizen Kane,Drama|Mystery,15.0
706,2001: A Space Odyssey,Adventure|Drama|Sci-Fi,62.0
733,It's a Wonderful Life,Children|Drama|Fantasy|Romance,1585.0
741,Night of the Living Dead,Horror|Sci-Fi|Thriller,10331.0
778,Cool Runnings,Comedy,864.0
780,Cinderella,Animation|Children|Fantasy|Musical|Romance,11224.0
783,"Sword in the Stone, The",Animation|Children|Fantasy|Musical,9078.0
784,Robin Hood: Prince of Thieves,Adventure|Drama,8367.0
785,Mary Poppins,Children|Comedy|Fantasy|Musical,433.0
786,Dumbo,Animation|Children|Drama|Musical,11360.0
789,Alice in Wonderland,Adventure|Animation|Children|Fantasy|Musical,12092.0
790,"Fox and the Hound, The",Animation|Children|Drama,10948.0
792,"Sound of Music, The",Musical|Romance,15121.0
793,Die Hard,Action|Crime|Thriller,562.0
809,William Shakespeare's Romeo + Juliet,Drama|Romance,454.0
811,Sleepers,Thriller,819.0
812,Aladdin and the King of Thieves,Animation|Children|Comedy|Fantasy|Musical|Romance,11238.0
815,Willy Wonka & the Chocolate Factory,Children|Comedy|Fantasy|Musical,252.0
818,"Fish Called Wanda, A",Comedy|Crime,623.0
819,Monty Python's Life of Brian,Comedy,583.0
825,Dial M for Murder,Crime|Mystery|Thriller,521.0
826,Dirty Dancing,Drama|Musical|Romance,88.0
827,Reservoir Dogs,Crime|Mystery|Thriller,500.0
828,Platoon,Drama|War,792.0
830,Basic Instinct,Crime|Mystery|Thriller,402.0
835,E.T. the Extra-Terrestrial,Children|Drama|Sci-Fi,601.0
838,Top Gun,Action|Romance,744.0
855,"Abyss, The",Action|Adventure|Sci-Fi|Thriller,2756.0
857,Escape from New York,Action|Adventure|Sci-Fi|Thriller,1103.0
862,Monty Python and the Holy Grail,Adventure|Comedy|Fantasy,762.0
877,Cinema Paradiso (Nuovo cinema Paradiso),Drama,11216.0
882,Paths of Glory,Drama|War,975.0
885,"English Patient, The",Drama|Romance|War,409.0
895,One Flew Over the Cuckoo's Nest,Drama,510.0
897,Star Wars: Episode V - The Empire Strikes Back,Action|Adventure|Sci-Fi,1891.0
898,"Princess Bride, The",Action|Adventure|Comedy|Fantasy|Romance,2493.0
899,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),Action|Adventure,85.0
900,Brazil,Fantasy|Sci-Fi,68.0
901,Aliens,Action|Adventure|Horror|Sci-Fi,679.0
902,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",Action|Adventure|Western,429.0
904,12 Angry Men,Drama,389.0
905,Lawrence of Arabia,Adventure|Drama|War,947.0
906,"Clockwork Orange, A",Crime|Drama|Sci-Fi|Thriller,185.0
907,To Kill a Mockingbird,Drama,595.0
908,Apocalypse Now,Action|Drama|War,28.0
909,Once Upon a Time in the West (C'era una volta il West),Action|Drama|Western,335.0
910,Star Wars: Episode VI - Return of the Jedi,Action|Adventure|Sci-Fi,1892.0
913,Goodfellas,Crime|Drama,769.0
914,Alien,Horror|Sci-Fi,348.0
915,Army of Darkness,Action|Adventure|Comedy|Fantasy|Horror,766.0
919,Psycho,Crime|Horror,539.0
920,"Blues Brothers, The",Action|Comedy|Musical,525.0
921,"Godfather: Part II, The",Crime|Drama,240.0
922,Full Metal Jacket,Drama|War,600.0
925,Amadeus,Drama,279.0
927,Once Upon a Time in America,Crime|Drama,311.0
928,Raging Bull,Drama,1578.0
929,Annie Hall,Comedy|Romance,703.0
932,"Boot, Das (Boat, The)",Action|Drama|War,387.0
933,"Sting, The",Comedy|Crime,9277.0
936,"Seventh Seal, The (Sjunde inseglet, Det)",Drama,490.0
938,"Terminator, The",Action|Sci-Fi|Thriller,218.0
942,Manhattan,Comedy|Drama|Romance,696.0
944,Dead Poets Society,Drama,207.0
945,"Graduate, The",Comedy|Drama|Romance,37247.0
947,"Femme Nikita, La (Nikita)",Action|Crime|Romance|Thriller,9322.0
948,"Bridge on the River Kwai, The",Adventure|Drama|War,826.0
950,Chinatown,Crime|Film-Noir|Mystery|Thriller,829.0
956,"Shining, The",Horror,694.0
957,Stand by Me,Adventure|Drama,235.0
958,M,Crime|Film-Noir|Thriller,832.0
959,Evil Dead II (Dead by Dawn),Action|Comedy|Fantasy|Horror,765.0
960,"Great Escape, The",Action|Adventure|Drama|War,5925.0
961,"Deer Hunter, The",Drama|War,11778.0
963,Groundhog Day,Comedy|Fantasy|Romance,137.0
964,Unforgiven,Drama|Western,33.0
968,Back to the Future,Adventure|Comedy|Sci-Fi,105.0
